county,date,labor.force,employed,unemployment,unemployment.rate
Mendocino County,1992-01-01,38700,33130,5570,14.4
Merced County,1992-01-01,80700,65200,15500,19.2
Modoc County,1992-01-01,4000,3370,630,15.8
Mono County,1992-01-01,6500,6050,460,7.1
Monterey County,1992-01-01,173300,142500,30900,17.8
Napa County,1992-01-01,55900,51900,4000,7.2
Nevada County,1992-01-01,39030,35590,3440,8.8
Orange County,1992-01-01,1318300,1239900,78400,5.9
Placer County,1992-01-01,92500,84600,7900,8.5
Plumas County,1992-01-01,9290,7370,1930,20.8
Riverside County,1992-01-01,570400,510400,60000,10.5
Sacramento County,1992-01-01,524300,480000,44300,8.4
San Benito County,1992-01-01,20500,16300,4200,20.5
San Bernardino County,1992-01-01,667500,607500,60000,9
San Diego County,1992-01-01,1207000,1125400,81600,6.8
San Francisco County,1992-01-01,404100,378300,25800,6.4
San Joaquin County,1992-01-01,232000,196600,35300,15.2
San Luis Obispo County,1992-01-01,98200,90800,7400,7.5
San Mateo County,1992-01-01,367600,350500,17100,4.7
Santa Barbara County,1992-01-01,193100,178200,14900,7.7
Santa Clara County,1992-01-01,840700,785100,55700,6.6
Santa Cruz County,1992-01-01,133400,116900,16500,12.4
Shasta County,1992-01-01,71000,60800,10100,14.2
Sierra County,1992-01-01,1610,1330,280,17.4
Siskiyou County,1992-01-01,19120,15560,3560,18.6
Solano County,1992-01-01,168300,156000,12300,7.3
Sonoma County,1992-01-01,213400,198200,15200,7.1
Stanislaus County,1992-01-01,186000,154200,31800,17.1
Sutter County,1992-01-01,33000,25900,7100,21.5
Tehama County,1992-01-01,22620,19700,2920,12.9
Trinity County,1992-01-01,5090,3810,1270,25
Tulare County,1992-01-01,148400,120200,28300,19.1
Tuolumne County,1992-01-01,20500,18100,2400,11.7
Ventura County,1992-01-01,369100,336400,32700,8.9
Yolo County,1992-01-01,79800,72000,7800,9.8
Yuba County,1992-01-01,21400,17400,3900,18.2
Alameda County,1993-01-01,678200,632100,46100,6.8
Alpine County,1993-01-01,590,560,30,5.1
Amador County,1993-01-01,12810,11380,1430,11.2
Butte County,1993-01-01,80600,69200,11400,14.1
Calaveras County,1993-01-01,14950,12730,2220,14.8
Colusa County,1993-01-01,8140,5340,2810,34.5
Contra Costa County,1993-01-01,443900,412700,31200,7
Del Norte County,1993-01-01,9880,8160,1720,17.4
El Dorado County,1993-01-01,68200,61100,7100,10.4
Fresno County,1993-01-01,349200,286100,63100,18.1
Glenn County,1993-01-01,11270,8890,2380,21.1
Humboldt County,1993-01-01,59000,51900,7000,11.9
Imperial County,1993-01-01,54500,39100,15400,28.3
Inyo County,1993-01-01,7240,6340,900,12.4
Kern County,1993-01-01,266700,219400,47300,17.7
Kings County,1993-01-01,40400,32300,8100,20
Lake County,1993-01-01,22200,18780,3430,15.5
Lassen County,1993-01-01,11110,9300,1810,16.3
