state.fips,county.fips,report.month.19,labor.force.19,unemployment.19,unemployment.rate.19,report.month.20,labor.force.20,unemployment.20,unemployment.rate.20,unemp.rate.diff
48,297,2019-09-01,5656,167,3,2020-09-01,5614,475,8.5,5.5
48,315,2019-09-01,4227,168,4,2020-09-01,4180,396,9.5,5.5
48,465,2019-09-01,23094,720,3.1,2020-09-01,22300,1911,8.6,5.5
51,650,2019-09-01,64826,2234,3.4,2020-09-01,64253,5732,8.9,5.5
01,005,2019-09-01,8656,280,3.2,2020-09-01,9528,820,8.6,5.4
01,025,2019-09-01,7456,393,5.3,2020-09-01,8368,892,10.7,5.4
12,011,2019-09-01,1054173,29858,2.8,2020-09-01,1016854,83428,8.2,5.4
16,015,2019-09-01,3503,116,3.3,2020-09-01,3704,324,8.7,5.4
35,015,2019-09-01,34794,1051,3,2020-09-01,35139,2949,8.4,5.4
35,031,2019-09-01,24162,1619,6.7,2020-09-01,24285,2938,12.1,5.4
39,095,2019-09-01,209791,8893,4.2,2020-09-01,208430,19992,9.6,5.4
48,007,2019-09-01,9369,368,3.9,2020-09-01,9235,856,9.3,5.4
48,169,2019-09-01,2160,57,2.6,2020-09-01,2156,172,8,5.4
48,469,2019-09-01,42784,1439,3.4,2020-09-01,42819,3763,8.8,5.4
06,043,2019-09-01,8056,252,3.1,2020-09-01,7657,647,8.4,5.3
06,053,2019-09-01,228665,8104,3.5,2020-09-01,194245,17088,8.8,5.3
06,055,2019-09-01,75913,1715,2.3,2020-09-01,71462,5444,7.6,5.3
06,081,2019-09-01,464123,8425,1.8,2020-09-01,439857,31282,7.1,5.3
06,101,2019-09-01,46098,2321,5,2020-09-01,41166,4230,10.3,5.3
08,113,2019-09-01,5900,93,1.6,2020-09-01,4992,345,6.9,5.3
09,011,2019-09-01,137212,4624,3.4,2020-09-01,134531,11755,8.7,5.3
17,111,2019-09-01,164263,4400,2.7,2020-09-01,158577,12699,8,5.3
25,011,2019-09-01,40967,945,2.3,2020-09-01,40077,3036,7.6,5.3
26,099,2019-09-01,453633,17484,3.9,2020-09-01,436044,40312,9.2,5.3
48,235,2019-09-01,761,18,2.4,2020-09-01,752,58,7.7,5.3
48,273,2019-09-01,13392,577,4.3,2020-09-01,13479,1294,9.6,5.3
48,373,2019-09-01,18051,808,4.5,2020-09-01,18205,1784,9.8,5.3
