state.fips,county.fips,county,state.abbr,report.month.19,civilian.labor.force.19,unemployed.19,rate.unemployed.19,report.month.20,civilian.labor.force.20,unemployed.20,rate.unemployed.20,unemp.rate.diff
48,135,Ector County,TX,2019-03-01,88268,2144,2.4,2020-03-01,86479,3764,4.4,2
48,153,Floyd County,TX,2019-03-01,2628,128,4.9,2020-03-01,2597,178,6.9,2
48,161,Freestone County,TX,2019-03-01,6428,307,4.8,2020-03-01,6426,438,6.8,2
48,185,Grimes County,TX,2019-03-01,11367,442,3.9,2020-03-01,11370,672,5.9,2
48,315,Marion County,TX,2019-03-01,4258,189,4.4,2020-03-01,4201,269,6.4,2
48,435,Sutton County,TX,2019-03-01,1517,50,3.3,2020-03-01,1339,71,5.3,2
54,019,Fayette County,WV,2019-03-01,15945,962,6,2020-03-01,16627,1335,8,2
54,047,McDowell County,WV,2019-03-01,4451,441,9.9,2020-03-01,4712,563,11.9,2
01,131,Wilcox County,AL,2019-03-01,2738,210,7.7,2020-03-01,2739,262,9.6,1.9
05,067,Jackson County,AR,2019-03-01,5795,361,6.2,2020-03-01,5951,480,8.1,1.9
05,085,Lonoke County,AR,2019-03-01,34318,1030,3,2020-03-01,34641,1689,4.9,1.9
06,019,Fresno County,CA,2019-03-01,450465,40314,8.9,2020-03-01,457432,49558,10.8,1.9
06,037,Los Angeles County,CA,2019-03-01,5116385,229562,4.5,2020-03-01,5004446,320548,6.4,1.9
08,041,El Paso County,CO,2019-03-01,339580,12608,3.7,2020-03-01,343926,19100,5.6,1.9
13,055,Chattooga County,GA,2019-03-01,10268,391,3.8,2020-03-01,10329,585,5.7,1.9
13,141,Hancock County,GA,2019-03-01,2461,134,5.4,2020-03-01,2534,186,7.3,1.9
21,129,Lee County,KY,2019-03-01,2098,130,6.2,2020-03-01,2107,171,8.1,1.9
22,007,Assumption Parish,LA,2019-03-01,8789,492,5.6,2020-03-01,9088,680,7.5,1.9
22,055,Lafayette Parish,LA,2019-03-01,112675,4152,3.7,2020-03-01,114867,6412,5.6,1.9
22,069,Natchitoches Parish,LA,2019-03-01,16234,799,4.9,2020-03-01,17084,1161,6.8,1.9
22,071,Orleans Parish,LA,2019-03-01,176441,7255,4.1,2020-03-01,182399,10952,6,1.9
22,087,St. Bernard Parish,LA,2019-03-01,19601,821,4.2,2020-03-01,20260,1232,6.1,1.9
22,109,Terrebonne Parish,LA,2019-03-01,45767,1847,4,2020-03-01,46652,2738,5.9,1.9
22,117,Washington Parish,LA,2019-03-01,16588,865,5.2,2020-03-01,17097,1217,7.1,1.9
29,069,Dunklin County,MO,2019-03-01,11883,745,6.3,2020-03-01,11881,971,8.2,1.9
31,181,Webster County,NE,2019-03-01,1665,54,3.2,2020-03-01,1739,88,5.1,1.9
